age,work,edu,marital,occupation,race,sex,hrs_per_week,income
39,State-gov,Bachelors,Never-married,Admin,White,Male,40,<=50K
50,Self-emp,Bachelors,Married,White-Collar,White,Male,13,<=50K
38,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,<=50K
53,Private,Dropout,Married,Blue-Collar,Black,Male,40,<=50K
28,Private,Bachelors,Married,Professional,Black,Female,40,<=50K
37,Private,Masters,Married,White-Collar,White,Female,40,<=50K
49,Private,Dropout,Married-spouse-absent,Service,Black,Female,16,<=50K
52,Self-emp,HS-grad,Married,White-Collar,White,Male,45,>50K
31,Private,Masters,Never-married,Professional,White,Female,50,>50K
42,Private,Bachelors,Married,White-Collar,White,Male,40,>50K
37,Private,HS-grad,Married,White-Collar,Black,Male,80,>50K
30,State-gov,Bachelors,Married,Professional,Asian-Pac-Islander,Male,40,>50K
23,Private,Bachelors,Never-married,Admin,White,Female,30,<=50K
32,Private,Associates,Never-married,Sales,Black,Male,50,<=50K
40,Private,Associates,Married,Blue-Collar,Asian-Pac-Islander,Male,40,>50K
34,Private,Dropout,Married,Blue-Collar,Amer-Indian-Eskimo,Male,45,<=50K
25,Self-emp,HS-grad,Never-married,Blue-Collar,White,Male,35,<=50K
32,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
38,Private,Dropout,Married,Sales,White,Male,50,<=50K
43,Self-emp,Masters,Divorced,White-Collar,White,Female,45,>50K
40,Private,Doctorate,Married,Professional,White,Male,60,>50K
54,Private,HS-grad,Separated,Service,Black,Female,20,<=50K
35,Federal-gov,Dropout,Married,Blue-Collar,Black,Male,40,<=50K
43,Private,Dropout,Married,Blue-Collar,White,Male,40,<=50K
59,Private,HS-grad,Divorced,Other-Occupations,White,Female,40,<=50K
56,Local-gov,Bachelors,Married,Other-Occupations,White,Male,40,>50K
19,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
54,?,HS-grad,Married,?,Asian-Pac-Islander,Male,60,>50K
39,Private,HS-grad,Divorced,White-Collar,White,Male,80,<=50K
49,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
23,Local-gov,Associates,Never-married,Other-Occupations,White,Male,52,<=50K
20,Private,HS-grad,Never-married,Sales,Black,Male,44,<=50K
45,Private,Bachelors,Divorced,White-Collar,White,Male,40,<=50K
30,Federal-gov,HS-grad,Married,Admin,White,Male,40,<=50K
22,State-gov,HS-grad,Married,Service,Black,Male,15,<=50K
48,Private,Dropout,Never-married,Blue-Collar,White,Male,40,<=50K
21,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
19,Private,HS-grad,Married,Admin,White,Female,25,<=50K
31,Private,HS-grad,Married,Sales,White,Male,38,>50K
48,Self-emp,Associates,Married,Professional,White,Male,40,<=50K
31,Private,Dropout,Married,Blue-Collar,White,Male,43,<=50K
53,Self-emp,Bachelors,Married,Professional,White,Male,40,<=50K
24,Private,Bachelors,Married,Other-Occupations,White,Male,50,<=50K
49,Private,HS-grad,Separated,Admin,White,Female,40,<=50K
25,Private,HS-grad,Never-married,Blue-Collar,White,Male,35,<=50K
57,Federal-gov,Bachelors,Married,Professional,Black,Male,40,>50K
53,Private,HS-grad,Married,Blue-Collar,White,Male,38,<=50K
44,Private,Masters,Divorced,White-Collar,White,Female,40,<=50K
41,State-gov,Associates,Married,Blue-Collar,White,Male,40,<=50K
29,Private,Associates,Never-married,Professional,White,Male,43,<=50K
25,Private,HS-grad,Married,White-Collar,Other,Female,40,<=50K
18,Private,HS-grad,Never-married,Service,White,Female,30,<=50K
47,Private,Prof-school,Married,Professional,White,Female,60,>50K
50,Federal-gov,Bachelors,Divorced,White-Collar,White,Male,55,>50K
47,Self-emp,HS-grad,Divorced,White-Collar,White,Male,60,<=50K
43,Private,HS-grad,Married,Other-Occupations,White,Male,40,>50K
46,Private,Dropout,Married,Blue-Collar,White,Male,40,<=50K
35,Private,Associates,Married,Service,White,Male,40,<=50K
41,Private,HS-grad,Married,Admin,White,Male,48,<=50K
30,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
30,Private,Bachelors,Married,Sales,White,Male,40,<=50K
32,?,Dropout,Married-spouse-absent,?,White,Male,40,<=50K
48,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
42,Private,Doctorate,Married,Professional,White,Male,45,>50K
29,Private,HS-grad,Divorced,Other-Occupations,White,Male,58,<=50K
36,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
28,Private,HS-grad,Divorced,Admin,White,Female,40,<=50K
53,Private,HS-grad,Married,Admin,White,Female,40,>50K
